text,label
 u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,0
 new mobiles must go txt nokia collect today www tc biz optout gbp mtmsg,1
 would really appreciate call need someone talk,0
 u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries,1
 hey company elama po mudyadhu,0
 life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning,0
 dear good morning,0
 get gandhipuram walk cross cut road right side lt gt street road turn first right,0
 dear going rubber place,0
 sorry battery died yeah,0
 yes tv always available work place,0
 text meet someone sexy today u find date even flirt u join p reply name age eg sam msg recd thirtyeight pence,1
 printed oh lt gt come upstairs,0
 ill little closer like bus stop street,0
 wil reach,0
 new theory argument wins situation loses person dont argue ur friends kick amp say always correct,0
 u secret admirer looking make contact u find r reveal thinks ur special call,1
 tomarrow final hearing laptop case cant,0
 pleassssssseeeeee tel v avent done sportsx,0
 okay shining meant signing sounds better,0
 although told u dat baig face watches really like e watch u gave cos fr u thanx everything dat u done today touched,0
 u remember old commercial,0
 late said website dont slippers,0
 asked call ok,0
 kallis wont bat nd innings,0
 didnt work oh ok goodnight fix ready time wake dearly missed good night sleep,0
 congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs www ldew com win ppmx age,1
 ranjith cal drpd deeraj deepak min hold,0
 wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,0
 ups days also shipping company takes wks way usps takes week gets lag may bribe nipost get stuff,0
 back lemme know ready,0
 necessarily expect done get back though headin,0
 mmm yummy babe nice jolt suzy,0
 lover need,0
 tried contact reply offer video handset anytime networks mins unlimited text camcorder reply call,1
 parked next mini coming today think,0
 yup,0
 anyway going shopping cos sis done yet dun disturb u liao,0
 luton ring ur around h,0
 hey really horny want chat see naked text hot text charged pm unsubscribe text stop,1
 dint come us,0
 wana plan trip sometme,0
 sure yet still trying get hold,0
 ur ringtone service changed free credits go club mobiles com choose content stop txt club stop p wk club po box mk wt,1
 evo download flash jealous,0
 ringtone club get uk singles chart mobile week choose top quality ringtone message free charge,1
 come mu sorting narcotics situation,0
 night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay,0
 hmv bonus special pounds genuine hmv vouchers answer easy questions play send hmv info www percent real com,1
 usf guess might well take car,0
 objection bf coming,0
 thanx,0
 tell rob mack gf theater,0
 awesome see bit,0
 sent type food like,0
 done handed celebrations full swing yet,0
 got called tool,0
 wen u miss someone person definitely special u person special miss keep touch gdeve,0
 ok asked money far,0
 okie,0
 yeah think usual guy still passed last night get ahold anybody let know throw,0
 k might come tonight class lets early,0
 ok,0
 hi baby im cruisin girl friend r u give call hour home thats alright fone fone love jenny xxx,0
 life means lot love life love people life world calls friends call world ge,0
 dear shall mail tonite busy street shall update tonite things looking ok varunnathu edukkukayee raksha ollu good one real sense,0
 hey told name gautham ah,0
 haf u found feel stupid da v cam working,0
 oops got bit,0
 much buzy,0
 accidentally deleted message resend please,0
 mobile customer may claim free camera phone upgrade pay go sim card loyalty call offer ends thfeb c apply,1
 unless situation go gurl would appropriate,0
 hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl,0
 cant pick phone right pls send message,0
 need coffee run tomo believe time week already,0
 awesome remember last time got somebody high first time diesel v,0
 shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi,0
 oh way food fridge want go meal tonight,0
 womdarfull actor,0
 sms ac blind date u rodds aberdeen united kingdom check http img sms ac w icmb cktz r blind dates send hide,1
 yup remb think book,0
 jos ask u wana meet,0
 lol yes friendship hanging thread cause u buy stuff,0
 themob check newest selection content games tones gossip babes sport keep mobile fit funky text wap,1
 garage keys bookshelf,0
 today accept day u accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy,0
 think ur smart win week weekly quiz text play cs winnersclub po box uz gbp week,1
 says give call friend got money definitely buying end week,0
 hi way u day normal way real ur unique hope know u rest mylife hope u find wot lost,0
 made day great day,0
 k k advance happy pongal,0
 hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,0
 really dude friends afraid,0
 december mobile mths entitled update latest colour camera mobile free call mobile update co free,1
 coffee cake guess,0
 merry christmas babe love ya kisses,0
 hey dont go watch x men lunch haha,0
 cud u tell ppl im gona b bit l cos buses hav gon past cos full im still waitin pete x,0
 would great guild could meet bristol road somewhere get touch weekend plans take flight good week,0
 problem,0
 calls messages missed calls,0
 hi da todays class,0
 say good sign well know track record reading women,0
 cool text parked,0
 reading text sent meant joke read light,0
 k k apo k good movie,0
 maybe could get book tomo return immediately something,0
 call germany pence per minute call fixed line via access number prepayment direct access,1
 chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor,0
 valentines day special win quiz take partner trip lifetime send go p msg rcvd custcare,1
 ta daaaaa home babe still,0
 cool come havent wined dined,0
 sleeping surfing,0
 sorry call later,0
 u calling right call hand phone,0
 ok great thanx lot,0
 take post come must texts happy reading one wiv hello caroline end favourite bless,0
 u hiding stranger,0
 interested like,0
 sister cleared two round birla soft yesterday,0
 gudnite tc practice going,0
 dis yijue jus saw ur mail case huiming havent sent u num dis num,0
 one small prestige problem,0
 fancy shag interested sextextuk com txt xxuk suzy txts cost per msg tncs website x,1
 checking really miss seeing jeremiah great month,0
 nah help never iphone,0
 car hour half going apeshit,0
 today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault basically good,0
 yo guys ever figure much need alcohol jay trying figure much safely spend weed,0
 lt gt ish minutes minutes ago wtf,0
 thank calling forgot say happy onam sirji fine remembered met insurance person meet qatar insha allah rakhesh ex tata aig joined tissco tayseer,0
 congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs www ldew com win ppmx age,1
 ur cash balance currently pounds maximize ur cash send cash p msg cc hg suite lands row w j hl,1
 actor work work evening sleep late since unemployed moment always sleep late unemployed every day saturday,0
 hello got st andrews boy long way cold keep posted,0
 ha ha cool cool chikku chikku db,0
 oh ok prob,0
 check audrey status right,0
 busy trying finish new year looking forward finally meeting,0
 good afternoon sunshine dawns day refreshed happy alive breathe air smile think love always,0
 well know z take care worries,0
 update xmas offer latest motorola sonyericsson nokia free bluetooth double mins txt orange call mobileupd call optout f q,1
 discount code rp stop messages reply stop www regalportfolio co uk customer services,1
 wat uniform get,0
 cool text ready,0
 hello boytoy geeee miss already woke wish bed cuddling love,0
 spoil bed well,0
 going bath msg next lt gt min,0
 cant keep talking people sure pay agree price pls tell want really buy much willing pay,0
 thanks ringtone order reference charged gbp per week unsubscribe anytime calling customer services,1
 say happen,0
 could seen recognise face,0
 well lot things happening lindsay new years sighs bars ptbo blue heron something going,0
 keep payasam rinu brings,0
 taught ranjith sir called sms like becaus hes verifying project prabu told today pa dont mistake,0
 guess worried must know way body repairs quite sure worry take slow first tests guide ovulation relax nothing said reason worry keep followin,0
 yeah sure give couple minutes track wallet,0
 hey leave big deal take care,0
 hey late ah meet,0
 double mins txts months free bluetooth orange available sony nokia motorola phones call mobileupd call optout n dx,1
 took mr owl licks,0
 customer place call,0
 mm time dont like fun,0
 mths half price orange line rental latest camera phones free phone mths call mobilesdirect free update stoptxt,1
 yup lunch buffet u eat already,0
 huh late fr dinner,0
 hey sat going intro pilates kickboxing,0
 morning ok,0
 yes think office lap room think thats last days didnt shut,0
 pick bout ish time going,0
 performance award calculated every two month current one month period,0
 actually sleeping still might u call back text gr rock sis send u text wen wake,0
 always putting business put pictures ass facebook one open people ever met would think picture room would hurt make feel violated,0
 good evening sir al salam wahleykkum sharing happy news grace god got offer tayseer tissco joined hope fine inshah allah meet sometime rakhesh visitor india,0
 hmmm k want change field quickly da wanna get system administrator network administrator,0
 free ringtone text first poly text get true tone help st free tones x pw e nd txt stop,1
 dear chechi talk,0
 hair cream shipped,0
 none happening til get though,0
 yep great loxahatchee xmas tree burning lt gt starts hour,0
 haha get used driving usf man know lot stoners,0
 well slightly disastrous class pm fav darlings hope day ok coffee wld good stay late tomorrow time place always,0
 hello good week fancy drink something later,0
 headin towards busetop,0
 message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via fullonsms com,0
 come room point iron plan weekend,0
 cos want thing,0
 okies go yan jiu skip ard oso go cine den go mrt one blah blah blah,0
 bring home wendy,0
 dating service cal l box sk ch,1
 whatsup dont u want sleep,0
 alright new goal,0
 free entry weekly competition text word win c www txttowin co uk,1
 alright head minutes text meet,0
 send logo ur lover names joined heart txt love name name mobno eg love adam eve yahoo pobox w wq txtno ads p,1
 yes last week taking live call,0
 someone contacted dating service entered phone fancy find call landline pobox n tf p,1
 siva hostel aha,0
 urgent mobile number awarded prize guaranteed call land line claim valid hrs,1
 send ur friends receive something ur voice speaking expression childish naughty sentiment rowdy ful attitude romantic shy attractive funny lt gt irritating lt gt lovable reply,0
 ok ok guess,0
 aathi dear,0
 pain urination thing else,0
 esplanade mind giving lift cos got car today,0
 wnt buy bmw car urgently vry urgent hv shortage lt gt lacs source arng dis amt lt gt lacs thats prob,0
 home watching tv lor,0
 usually take fifteen fucking minutes respond yes question,0
 congrats nokia video camera phone call calls cost ppm ave call mins vary mobiles close post bcm ldn wc n xx,1
 booked ticket pongal,0
 available like right around hillsborough amp lt gt th,0
 message sent askin lt gt dollars shoul pay lt gt lt gt,0
 ask g iouri told story like ten times already,0
 long applebees fucking take,0
 hi hope u get txt journey hasnt gd mins late think,0
 like love arrange,0
 yes really great bhaji told kallis best cricketer sachin world tough get,0
 supposed wake gt,0
 oic saw tot din c found group liao,0
 sorry call later,0
 hey hey werethe monkeespeople say monkeyaround howdy gorgeous howu doin foundurself jobyet sausage love jen xxx,0
 sorry battery died come getting gram place,0
 well done blimey exercise yeah kinda remember wot hmm,0
 wont get concentration dear know mind everything,0
 lol made plans new years,0
 min later k,0
 hanks lotsly,0
 thanks hope good day today,0
 k k detail want transfer acc enough,0
 ok tell stay yeah tough optimistic things improve month,0
 loan purpose homeowners tenants welcome previously refused still help call free text back help,1
 si si think ill go make oreo truffles,0
 look amy ure beautiful intelligent woman like u lot know u like like worry,0
 hope result consistently intelligent kind start asking practicum links keep ears open best ttyl,0
 call cost guess isnt bad miss ya need ya want ya love ya,0
 going thru different feeling wavering decisions coping individual time heal everything believe,0
 u go phone gonna die stay,0
 great never better day gives even reasons thank god,0
 upgrdcentre orange customer may claim free camera phone upgrade loyalty call offer ends th july c apply opt available,1
 sorry call later ok bye,0
 ok way railway,0
 great princess love giving receiving oral doggy style fave position enjoy making love lt gt times per night,0
 put stuff roads keep getting slippery,0
 going ride bike,0
 yup need jus wait e rain stop,0
 many company tell language,0
 okmail dear dave final notice collect tenerife holiday cash award call landline tcs sae box cw wx ppm,1
 long since screamed princess,0
 nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollars got removed banks differ charges also differ sure trust ja person sending account details cos,0
 want get laid tonight want real dogging locations sent direct ur mob join uk largest dogging network txting moan nyt ec p msg p,1
 nice line said broken heart plz cum times infront wise trust u good,0
 ok gonna head usf like fifteen minutes,0
 love aathi love u lot,0
 tension ah machi problem,0
 k pick another th done,0
 guys getting back g said thinking staying mcr,0
 almost see u sec,0
 yo carlos friends already asking working weekend,0
 watching tv lor,0
 thank baby cant wait taste real thing,0
 change fb jaykwon thuglyfe falconerf,0
 win really side long time,0
 free message activate free text messages replying message word free terms conditions visit www com,1
 dear reached railway happen,0
 depends quality want type sent boye faded glory want ralphs maybe,0
 think fixed send test message,0
 sorry man account dry would want could trade back half could buy shit credit card,0
 congrats year special cinema pass call c suprman v matrix starwars etc free bx ip pm dont miss,1
 sorry meeting call later,0
 class lt gt reunion,0
 free call,0
 got meh,0
 nope think go monday sorry replied late,0
 told accenture confirm true,0
 kate jackson rec center ish right,0
 dear reache room,0
 fighting world easy u either win lose bt fightng close u dificult u lose u lose u win u still lose,0
 come,0
 check nuerologist,0
 lolnice went fish water,0
 error,1
 waiting e car dat bored wat cos wait outside got nothing home stuff watch tv wat,0
 maybe westshore hyde park village place near house,0
 know anthony bringing money school fees pay rent stuff like thats need help friend need,0
 significance,0
 opinion jada kusruthi lovable silent spl character matured stylish simple pls reply,0
 latest g still scrounge ammo want give new ak try,0
 prabha soryda realy frm heart sory,0
 lol ok forgiven,0
 jst change tat,0
 guaranteed latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnw h p mtmsgrcvd,1
 competition,0
 boltblue tones p reply poly mono eg poly cha cha slide yeah slow jamz toxic come stop tones txt,1
 credits topped http www bubbletext com renewal pin tgxxrz,1
 way transport less problematic sat night way u want ask n join bday feel free need know definite nos booking fri,0
 usually person unconscious children adults may behave abnormally call,0
 ebay might less elsewhere,0
 shall come get pickle,0
 gonna go get tacos,0
 rude campus,0
 urgent mobile awarded bonus caller prize nd attempt contact call box qu,1
 hi b ard christmas enjoy n merry x mas,0
 today offer claim ur worth discount vouchers text yes savamob member offers mobile cs sub unsub reply x,1
 yes pretty lady like single,0
 recieve tone within next hrs terms conditions please see channel u teletext pg,1
 jay says double faggot,0
 private account statement shows un redeemed points call identifier code expires,1
 today sunday sunday holiday work,0
 gudnite tc practice going,0
 late,0
 called hoping l r malaria know miss guys miss bani big pls give love especially great day,0
 good afternoon love goes day hope maybe got leads job think boytoy send passionate kiss across sea,0
 probably gonna see later tonight lt,0
 maybe fat fingers press buttons know,0
 ummmmmaah many many happy returns day dear sweet heart happy birthday dear,0
 tirupur da started office call,0
 www applausestore com monthlysubscription p msg max month csc web age stop txt stop,1
 famous quote develop ability listen anything unconditionally without losing temper self confidence means married,0
 going college pa else ill come self pa,0
 oclock mine bash flat plan,0
 girl stay bed girl need recovery time id rather pass fun cooped bed,0
 special,0
 know need get hotel got invitation apologise cali sweet come english bloke weddin,0
 sorry took long omw,0
 wait lt gt min,0
 ok give minutes think see btw alibi cutting hair whole time,0
 imagine finally get sink bath put paces maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck,0
 hurry weed deficient like three days,0
 sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo,0
 ok every night take warm bath drink cup milk see work magic still need loose weight know,0
 look frying pan case cheap book perhaps silly frying pan likely book,0
 well uv causes mutations sunscreen like essential thesedays,0
 lunch online,0
 know friend already told,0
 hi princess thank pics pretty,0
 aiyo u always c ex one dunno abt mei reply first time u reply fast lucky workin huh got bao ur sugardad ah gee,0
 hi msg office,0
 thanx e brownie v nice,0
 geeeee love much barely stand,0
 gent trying contact last weekends draw shows prize guaranteed call claim code k valid hrs ppm,1
 fuck babe miss already know let send money towards net need want crave,0
 ill call u mrw ninish address icky american freek wont stop callin bad jen k eh,0
 oooh bed ridden ey thinking,0
 anyways go gym whatever love smiles hope ok good day babe miss much already,0
 love daddy make scream pleasure going slap ass dick,0
 wot u wanna missy,0
 yar lor wait mum finish sch lunch lor whole morning stay home clean room room quite clean hee,0
 know lab goggles went,0
 open door,0
 waiting call,0
 nope waiting sch daddy,0
 cash prize claim call,1
 tired arguing week week want,0
 wait sch finish ard,0
 mobile number claim calls us back ring claims hot line,1
 arngd marriage u r walkin unfortuntly snake bites u bt love marriage dancing frnt snake amp sayin bite bite,0
 huh early dinner outside izzit,0
 ok anyway need change said,0
 tried contact reply offer mins textand new video phone call reply free delivery tomorrow,1
 ex wife able kids want kids one day,0
 scotland hope showing jjc tendencies take care live dream,0
 tell u headache want use hour sick time,0
 dun thk quit yet hmmm go jazz yogasana oso go meet em lessons den,0
 pete please ring meive hardly gotany credit,0
 ya srsly better yi tho,0
 meeting call later,0
 ur chance win wkly shopping spree txt shop c www txt shop com custcare x p wk,1
 specially selected receive pound award call lines close cost ppm cs apply ag promo,1
 private account statement shows un redeemed points call identifier code expires,1
 still grand prix,0
 met stranger choose friend long world stands friendship never ends lets friends forever gud nitz,0
 great,0
 gud mrng dear nice day,0
 important customer service announcement call freephone,1
 exhausted train morning much wine pie sleep well,0
 going buy mum present ar,0
 mind blastin tsunamis occur rajnikant stopped swimming indian ocean,0
 u sending home first ok lor ready yet,0
 speaking cash yet,0
 happy come noon,0
 meet lunch la,0
 take care n get well soon,0
 xclusive clubsaisai morow soiree speciale zouk nichols paris free roses ladies info,1
 meant say cant wait see u getting bored bridgwater banter,0
 neva mind ok,0
 fine imma get drink somethin want come find,0
 days kick euro u kept date latest news results daily removed send get txt stop,1
 valentine game send dis msg ur friends answers r someone really loves u ques colour suits best rply,0
 many dependents,0
 thanx today cer nice catch ave find time often oh well take care c u soon c,0
 called said choose future,0
 happy valentines day know early hundreds handsomes beauties wish thought finish aunties uncles st,0
 like v shock leh cos telling shuhui like telling leona also like dat almost know liao got ask abt ur reaction lor,0
 family happiness,0
 come n pick come immediately aft ur lesson,0
 let snow let snow kind weather brings ppl together friendships grow,0
 dear got lt gt dollars hi hi,0
 good words words may leave u dismay many times,0
 make sure alex knows birthday fifteen minutes far concerned,0
 sorry got things may pub later,0
 nah straight bring bud drinks something actually little useful straight cash,0
 haha good hear officially paid market th,0
 many licks take get center tootsie pop,0
 yup thk r e teacher said make face look longer darren ask cut short,0
 new textbuddy chat horny guys ur area p free receive search postcode gaytextbuddy com txt one name,1
 todays vodafone numbers ending selected receive award number matches call receive award,1
 please dont say like hi hi hi,0
 thank u,0
 oh forwarded message thought send,0
 got seventeen pounds seven hundred ml hope ok,0
 dear voucher holder claim weeks offer pc go http www e tlp co uk expressoffer ts cs apply stop texts txt stop,1
 n funny,0
 sweetheart hope kind day one loads reasons smile biola,0
 login dat time dad fetching home,0
 shower baby,0
 askd u question hours answer,0
 well imma definitely need restock thanksgiving let know,0
 said kiss kiss sound effects gorgeous man kind person needs smile brighten day,0
 probably gonna swing wee bit,0
 ya nice ready thursday,0
 allo braved buses taken trains triumphed mean b ham jolly good rest week,0
 watching cartoon listening music amp eve go temple amp church u,0
 mind ask happened dont say uncomfortable,0
 private account statement shows un redeemed points call identifier code expires,1
 prob send email,0
 cash prize claim call c rstm sw ss ppm,1
 thats cool sometimes slow gentle sonetimes rough hard,0
 gonna say sorry would normal starting panic time sorry seeing tuesday,0
 wait know wesleys town bet hella drugs,0
 fine miss much,0
 u got persons story,0
 tell drug dealer getting impatient,0
 sun cant come earth send luv rays cloud cant come river send luv rain cant come meet u send care msg u gud evng,0
 place man,0
 doesnt make sense take unless free need know wikipedia com,0
 premium phone services call,1
